,userId,itemId,rating
0,1290,11,4.0
1,1150,213,4.0
2,851,213,3.5
3,1464,11,4.0
4,812,205,3.5
5,1283,4,4.0
6,1173,202,4.0
7,1024,9,3.0
8,1060,721,1.0
9,147,249,2.0
10,1295,235,1.5
11,1244,1019,0.5
12,830,425,3.0
13,427,250,3.0
14,800,3,1.0
15,1361,219,3.5
16,1365,488,3.5
17,896,5,4.0
18,292,206,4.0
19,1246,253,0.5
20,76,13,4.0
21,1430,214,2.5
22,183,220,3.5
23,465,10,3.0
24,902,592,2.0
25,495,253,3.0
26,190,214,3.0
27,1502,239,2.5
28,492,84,3.0
29,825,400,3.0
30,900,241,2.0
31,587,719,1.0
32,152,211,4.0
33,52,10,3.5
34,1501,236,2.0
35,1148,11,2.5
36,661,13,3.0
37,1197,213,3.5
38,569,10,2.0
39,535,10,4.0
40,1420,2,3.5
41,1464,7,1.0
42,457,235,2.5
43,105,257,2.5
44,1367,9,4.0
45,999,943,0.5
46,1378,205,3.5
47,969,304,3.5
48,368,121,1.0
49,1435,2,3.0
50,535,239,3.0
51,455,1,3.0
52,478,345,2.5
53,906,17,4.0
54,735,220,4.0
55,1144,8,4.0
56,318,7,3.0
57,418,205,4.0
58,1295,212,1.5
59,817,216,4.0
60,587,7,3.0
61,1329,10,3.5
62,205,10,4.0
63,1175,1,3.5
64,585,10,2.0
65,271,10,2.0
66,666,205,3.0
67,1375,4,3.5
68,505,11,4.0
69,487,246,3.0
70,808,245,3.5
71,1089,256,3.5
72,1239,206,3.0
73,1454,239,2.5
74,308,656,3.5
75,225,3,3.0
76,1158,251,3.5
77,917,8,4.0
78,1321,17,0.5
79,1116,233,3.0
80,948,84,2.0
81,538,216,2.0
82,782,220,4.0
83,761,9,3.5
84,1495,746,3.5
85,1157,1478,4.0
86,541,245,3.0
87,671,1441,0.5
88,1241,249,2.0
89,459,234,2.5
90,926,215,3.0
91,668,215,3.5
92,867,251,3.5
93,1089,249,3.0
94,894,585,3.5
95,295,121,3.0
96,1112,207,4.0
97,309,9,4.0
98,587,520,3.0
99,903,235,2.5
100,606,211,1.0
101,613,244,3.5
102,467,789,3.5
103,311,8,3.0
104,1155,212,2.5
105,1157,318,4.0
106,461,235,2.5
107,711,205,3.0
108,454,7,4.0
109,13,223,3.5
110,278,205,4.0
111,917,17,4.0
112,1055,234,4.0
113,569,84,2.5
114,70,215,3.5
115,781,241,4.0
116,1144,12,4.0
117,309,251,3.5
118,439,250,3.5
119,557,9,4.0
120,1396,217,4.0
121,670,2,3.5
122,1399,10,3.0
123,793,246,3.5
124,111,211,2.5
125,902,1652,3.0
126,905,3,4.0
127,1430,250,2.0
128,918,256,4.0
129,672,247,4.0
130,1108,206,3.5
131,1370,12,3.0
132,243,3,3.0
133,308,263,1.5
134,368,245,2.0
135,1255,214,2.0
136,460,205,2.0
137,918,371,3.5
138,1398,218,4.0
139,147,214,3.0
140,486,7,2.5
141,955,207,2.0
142,854,1,2.5
143,1056,1,2.0
144,1187,256,2.5
145,555,205,3.0
146,670,659,3.5
147,312,8,1.5
148,750,13,0.5
149,826,13,4.0
150,570,211,3.5
151,558,13,3.5
152,209,1,4.0
153,298,339,1.0
154,225,246,4.0
155,646,207,3.0
156,746,6,3.5
157,1003,234,2.0
158,875,206,3.0
159,1240,10,2.5
160,1317,8,3.0
161,1126,6,3.5
162,570,246,3.0
163,829,11,2.5
164,564,257,3.0
165,1478,216,4.0
166,270,217,2.5
167,1075,216,3.0
168,670,1144,2.5
169,1000,207,2.5
170,145,236,2.5
171,1218,84,3.0
172,1420,251,4.0
173,622,211,3.5
174,1210,4,3.5
175,192,432,4.0
176,724,245,4.0
177,411,210,1.0
178,1003,252,2.5
179,847,236,2.5
180,302,235,4.0
181,1147,391,4.0
182,1249,6,3.0
183,1390,1,3.0
184,1153,233,3.0
185,1387,9,3.0
186,677,239,4.0
